nama,kelas,energy_low,energy_high,energy_total,ratio_lh
pitted surface 1,pitted surface,51884261900288.0,94122901504.0,51978384801792.0,551.239507826722
pitted surface 2,pitted surface,66947207135232.0,105311666176.0,67052518801408.0,635.7055164557726
pitted surface 3,pitted surface,71942346375168.0,119825367040.0,72062171742208.0,600.3932902717692
pitted surface 4,pitted surface,80558277263360.0,135601741824.0,80693879005184.0,594.0799592966739
pitted surface 5,pitted surface,84862614634496.0,142239498240.0,85004854132736.0,596.6177867930027
pitted surface 6,pitted surface,82932236550144.0,205411942400.0,83137648492544.0,403.73619752180485
pitted surface 7,pitted surface,71454532042752.0,217228607488.0,71671760650240.0,328.93702569399954
pitted surface 8,pitted surface,83196947464192.0,247927177216.0,83444874641408.0,335.57009924615426
pitted surface 9,pitted surface,75022567735296.0,242932989952.0,75265500725248.0,308.8200073202053
pitted surface 10,pitted surface,57741741654016.0,153478299648.0,57895219953664.0,376.2208845579196
scratched surface 1,scratched surface,17388127911936.0,18933387264.0,17407061299200.0,918.3844216295009
scratched surface 2,scratched surface,23001374392320.0,66644615168.0,23068019007488.0,345.1347769709129
scratched surface 3,scratched surface,20530874810368.0,52152385536.0,20583027195904.0,393.6708666221193
scratched surface 4,scratched surface,34075557494784.0,73681256448.0,34149238751232.0,462.4725355875625
scratched surface 5,scratched surface,21904807165952.0,39167393792.0,21943974559744.0,559.2612896910719
scratched surface 6,scratched surface,20767527927808.0,188137095168.0,20955665022976.0,110.3850780159187
scratched surface 7,scratched surface,32806543556608.0,51090878464.0,32857634435072.0,642.121344218506
scratched surface 8,scratched surface,23036507979776.0,83340320768.0,23119848300544.0,276.4149185830981
scratched surface 9,scratched surface,10637772062720.0,38359810048.0,10676131872768.0,277.3155562920894
scratched surface 10,scratched surface,21620246708224.0,156681945088.0,21776928653312.0,137.98811787842592
